time,m_ballast_pumped,m_pitch,m_pressure,density
2024-08-05T19:37:31Z,NaN,NaN,1.2579,NaN
2024-08-05T19:38:11Z,NaN,NaN,NaN,NaN
2024-08-05T19:38:15Z,NaN,NaN,NaN,1024.6427
2024-08-05T19:38:19Z,NaN,NaN,0.0101467,NaN
2024-08-05T19:38:27Z,NaN,NaN,NaN,NaN
2024-08-05T19:38:43Z,NaN,NaN,NaN,1024.6571
2024-08-05T19:38:47Z,NaN,NaN,NaN,1024.6571
2024-08-05T19:38:51Z,NaN,NaN,NaN,1024.6338
2024-08-05T19:38:55Z,NaN,NaN,NaN,NaN
2024-08-05T19:39:03Z,NaN,NaN,NaN,1024.6036
2024-08-05T19:39:07Z,NaN,NaN,-0.0107265,NaN
2024-08-05T19:39:11Z,NaN,NaN,NaN,1024.5951
2024-08-05T19:39:15Z,NaN,NaN,NaN,1024.5848
2024-08-05T19:39:19Z,NaN,NaN,NaN,NaN
2024-08-05T19:39:23Z,NaN,NaN,NaN,1024.5756
2024-08-05T19:39:27Z,NaN,NaN,NaN,NaN
2024-08-05T19:39:31Z,NaN,NaN,NaN,1024.5292
2024-08-05T19:39:35Z,NaN,NaN,NaN,NaN
2024-08-05T19:39:47Z,NaN,NaN,NaN,1024.4215
2024-08-05T19:39:51Z,NaN,NaN,NaN,NaN
2024-08-05T19:39:55Z,NaN,NaN,-0.0130457,1024.3456
2024-08-05T19:40:11Z,NaN,NaN,NaN,NaN
2024-08-05T19:40:19Z,NaN,NaN,NaN,1024.202
2024-08-05T19:40:43Z,NaN,NaN,-0.0130457,1023.5459
2024-08-05T19:40:51Z,NaN,NaN,NaN,NaN
2024-08-05T19:41:11Z,NaN,NaN,NaN,1022.8721
2024-08-05T19:41:24Z,NaN,NaN,NaN,NaN
2024-08-05T19:41:32Z,NaN,NaN,-0.0176842,1021.7566
2024-08-05T19:41:56Z,NaN,NaN,NaN,1021.24164
2024-08-05T19:43:41Z,NaN,NaN,NaN,NaN
2024-08-05T19:43:49Z,536.585,0.87441,-0.00608799,NaN
2024-08-05T19:43:49Z,NaN,NaN,-0.0200034,1021.2395
2024-08-05T19:44:24Z,NaN,NaN,NaN,1024.6511
2024-08-05T19:44:36Z,NaN,NaN,NaN,NaN
2024-08-05T19:44:40Z,NaN,NaN,0.0101467,1024.621
2024-08-05T19:44:56Z,NaN,NaN,NaN,1024.6007
2024-08-05T19:45:25Z,NaN,NaN,NaN,NaN
2024-08-05T19:45:26Z,534.113,0.87441,0.0356582,1024.5863
2024-08-05T19:45:26Z,NaN,NaN,0.0263813,NaN
2024-08-05T19:45:37Z,NaN,NaN,NaN,1024.5731
2024-08-05T19:46:00Z,NaN,NaN,NaN,NaN
2024-08-05T19:46:04Z,NaN,NaN,NaN,1024.5468
2024-08-05T19:46:08Z,NaN,NaN,NaN,NaN
2024-08-05T19:46:12Z,NaN,NaN,NaN,1024.5068
2024-08-05T19:46:16Z,NaN,NaN,-0.0617496,NaN
2024-08-05T19:46:24Z,NaN,NaN,NaN,1024.4529
2024-08-05T19:46:28Z,NaN,NaN,NaN,1024.3591
2024-08-05T19:46:32Z,NaN,NaN,NaN,NaN
2024-08-05T19:46:36Z,NaN,NaN,NaN,1024.0815
2024-08-05T19:46:40Z,NaN,NaN,NaN,NaN
2024-08-05T19:46:44Z,NaN,NaN,NaN,1023.5949
2024-08-05T19:46:48Z,NaN,NaN,NaN,1022.6709
2024-08-05T19:46:52Z,NaN,NaN,NaN,1021.6334
2024-08-05T19:46:56Z,NaN,NaN,NaN,NaN
2024-08-05T19:47:00Z,NaN,NaN,NaN,NaN
2024-08-05T19:47:04Z,NaN,NaN,0.378905,1021.2262
2024-08-05T19:47:08Z,-254.755,NaN,NaN,NaN
2024-08-05T19:47:16Z,NaN,NaN,NaN,1021.16693
2024-08-05T19:47:24Z,NaN,NaN,NaN,1024.6154
2024-08-05T19:47:28Z,NaN,NaN,NaN,1024.5997
2024-08-05T19:47:52Z,NaN,NaN,1.19064,NaN
2024-08-05T19:47:56Z,NaN,NaN,NaN,1024.5789
2024-08-05T19:48:08Z,-254.755,NaN,NaN,1024.5662
2024-08-05T19:48:12Z,NaN,NaN,NaN,NaN
2024-08-05T19:48:36Z,NaN,NaN,NaN,1024.5524
2024-08-05T19:48:40Z,NaN,NaN,1.78204,NaN
2024-08-05T19:48:44Z,NaN,NaN,NaN,1024.5162
2024-08-05T19:48:56Z,NaN,NaN,NaN,1024.488
2024-08-05T19:49:00Z,NaN,NaN,NaN,NaN
2024-08-05T19:49:08Z,-255.744,NaN,NaN,NaN
2024-08-05T19:49:12Z,NaN,NaN,NaN,1024.4761
2024-08-05T19:49:16Z,NaN,NaN,NaN,1024.347
2024-08-05T19:49:28Z,NaN,NaN,2.30851,1023.746
2024-08-05T19:49:32Z,NaN,NaN,NaN,NaN
2024-08-05T19:49:36Z,NaN,NaN,NaN,1022.53937
2024-08-05T19:49:48Z,NaN,NaN,NaN,NaN
2024-08-05T19:49:56Z,NaN,NaN,NaN,1021.7322
2024-08-05T19:50:08Z,256.329,NaN,NaN,1021.35834
2024-08-05T19:50:16Z,NaN,NaN,1.67536,NaN
2024-08-05T19:50:28Z,NaN,NaN,NaN,1021.1331
2024-08-05T19:50:36Z,NaN,NaN,NaN,1024.6047
2024-08-05T19:51:00Z,NaN,NaN,NaN,NaN
2024-08-05T19:51:04Z,NaN,NaN,0.627063,1024.5999
2024-08-05T19:51:08Z,256.329,NaN,NaN,NaN
2024-08-05T19:51:16Z,NaN,NaN,NaN,1024.5897
2024-08-05T19:51:20Z,NaN,NaN,NaN,NaN
2024-08-05T19:51:48Z,NaN,NaN,NaN,1024.5775
2024-08-05T19:51:52Z,NaN,NaN,0.200324,NaN
2024-08-05T19:52:04Z,NaN,-0.335103,NaN,1024.574
2024-08-05T19:52:12Z,NaN,NaN,NaN,NaN
2024-08-05T19:52:24Z,NaN,NaN,NaN,1024.5625
2024-08-05T19:52:40Z,NaN,NaN,1.1257,NaN
2024-08-05T19:52:44Z,NaN,-0.50091,NaN,1024.5574
2024-08-05T19:53:00Z,NaN,NaN,NaN,NaN
2024-08-05T19:53:04Z,NaN,NaN,NaN,NaN
2024-08-05T19:53:08Z,NaN,NaN,NaN,1024.4966
2024-08-05T19:53:12Z,NaN,NaN,NaN,1023.9276
2024-08-05T19:53:24Z,NaN,-0.457276,NaN,NaN
2024-08-05T19:53:28Z,NaN,NaN,1.84466,1022.66034
2024-08-05T19:53:48Z,NaN,NaN,NaN,NaN
2024-08-05T19:54:00Z,NaN,NaN,NaN,NaN
2024-08-05T19:54:04Z,NaN,-0.441568,NaN,1021.6607
2024-08-05T19:54:08Z,NaN,NaN,NaN,NaN
2024-08-05T19:54:08Z,NaN,NaN,NaN,1021.42535
2024-08-05T19:54:16Z,NaN,NaN,2.42215,NaN
2024-08-05T19:54:20Z,NaN,NaN,NaN,1021.18726
2024-08-05T19:54:27Z,NaN,NaN,NaN,NaN
2024-08-05T19:54:28Z,NaN,NaN,NaN,1021.1791
2024-08-05T19:54:34Z,NaN,NaN,NaN,NaN
2024-08-05T19:54:41Z,NaN,NaN,NaN,1021.17786
2024-08-05T19:54:44Z,NaN,0.411898,NaN,1024.7141
2024-08-05T19:54:48Z,NaN,NaN,NaN,NaN
2024-08-05T19:54:48Z,NaN,NaN,NaN,1024.701
2024-08-05T19:54:55Z,NaN,NaN,NaN,NaN
2024-08-05T19:55:02Z,NaN,NaN,NaN,1024.6771
2024-08-05T19:55:04Z,NaN,NaN,1.35298,NaN
2024-08-05T19:55:08Z,NaN,NaN,NaN,1024.6263
2024-08-05T19:55:09Z,NaN,NaN,NaN,NaN
2024-08-05T19:55:16Z,NaN,NaN,NaN,1024.6162
2024-08-05T19:55:23Z,NaN,NaN,NaN,1024.5914
2024-08-05T19:55:24Z,NaN,0.441568,NaN,NaN
2024-08-05T19:55:30Z,NaN,NaN,NaN,1024.5685
2024-08-05T19:55:33Z,NaN,NaN,NaN,NaN
2024-08-05T19:55:37Z,NaN,NaN,NaN,1024.5438
